CRISIS ID,COUNTRY,ISO3,affected,displaced,injured,fatalities,pin_level_1,pin_level_2,pin_level_3,pin_level_4,pin_level_5,access_limited,access_restricted,impediments_bureaucratic,year,month,snapshot
AFG001,Afghanistan,AFG,35700000.0,4969000.0,,10997.0,0.0,21700000.0,10447000.0,3553000.0,0.0,,,0.0,2020,9,2020-09
DZA002,Algeria,DZA,,,,22.0,,,,,,,,0.0,2020,9,2020-09
DZA003,Algeria,DZA,174000.0,174000.0,,0.0,49000.0,84000.0,90000.0,0.0,0.0,0.0,0.0,0.0,2020,9,2020-09
DZA004,Algeria,DZA,,,,22.0,,,,,,,,1.0,2020,9,2020-09
BGD001,Bangladesh,BGD,19483000.0,1175000.0,,69.0,79106000.0,17828000.0,1448000.0,207000.0,0.0,,,2.0,2020,9,2020-09
BGD002,Bangladesh,BGD,1332000.0,860000.0,37140.0,2.0,0.0,472000.0,653000.0,207000.0,0.0,0.0,0.0,2.0,2020,9,2020-09
BGD003,Bangladesh,BGD,5400000.0,94000.0,,41.0,64768000.0,5306000.0,94000.0,0.0,0.0,,,,2020,9,2020-09
BGD006,Bangladesh,BGD,12751000.0,220000.0,,26.0,14432000.0,12051000.0,700000.0,0.0,0.0,,,0.0,2020,9,2020-09
BRA002,Brazil,BRA,663000.0,264000.0,,0.0,207000.0,399000.0,264000.0,0.0,0.0,,,0.0,2020,9,2020-09
BFA002,Burkina Faso,BFA,5277000.0,1051000.0,,1341.0,3459000.0,3107000.0,490000.0,764000.0,916000.0,,,1.0,2020,9,2020-09
BFA003,Burkina Faso,BFA,71000.0,,50.0,13.0,21067000.0,0.0,26000.0,46000.0,0.0,,,1.0,2020,9,2020-09
BDI001,Burundi,BDI,4048000.0,512000.0,,211.0,7609000.0,3293000.0,713000.0,42000.0,0.0,,,2.0,2020,9,2020-09
CMR001,Cameroon,CMR,5583000.0,1476000.0,150.0,557.0,5124000.0,3855000.0,1543000.0,185000.0,0.0,,,0.0,2020,9,2020-09
CMR002,Cameroon,CMR,2521000.0,438000.0,,207.0,1857000.0,1879000.0,553000.0,89000.0,0.0,,,0.0,2020,9,2020-09
CMR003,Cameroon,CMR,2763000.0,738000.0,,326.0,1611000.0,1976000.0,690000.0,97000.0,0.0,,377500.0,1.0,2020,9,2020-09
CMR004,Cameroon,CMR,300000.0,300000.0,0.0,0.0,1656000.0,0.0,300000.0,0.0,0.0,,,0.0,2020,9,2020-09
CAF001,CAR,CAF,4900000.0,1695000.0,,186.0,0.0,2300000.0,900000.0,1700000.0,0.0,,,0.0,2020,9,2020-09
TCD001,Chad,TCD,7607000.0,880000.0,,441.0,9169000.0,1207000.0,4736000.0,1472000.0,192000.0,,,1.0,2020,9,2020-09
TCD003,Chad,TCD,685000.0,343000.0,,325.0,0.0,318000.0,98000.0,147000.0,122000.0,,,1.0,2020,9,2020-09
TCD004,Chad,TCD,1004000.0,164000.0,,,3452000.0,0.0,743000.0,261000.0,0.0,,,1.0,2020,9,2020-09
TCD005,Chad,TCD,1123000.0,368000.0,,11.0,1454000.0,0.0,694000.0,429000.0,0.0,,,1.0,2020,9,2020-09
TCD006,Chad,TCD,38000.0,,,33.0,0.0,20000.0,11000.0,6000.0,1000.0,,,1.0,2020,9,2020-09
TCD008,Chad,TCD,275000.0,120000.0,,10.0,455000.0,36000.0,239000.0,0.0,0.0,,,1.0,2020,9,2020-09
CHN002,China,CHN,70000000.0,4690000.0,,271.0,937800000.0,65310000.0,4690000.0,0.0,0.0,,,0.0,2020,9,2020-09
COL001,Colombia,COL,13400000.0,3126000.0,,,34900000.0,4900000.0,5998000.0,2502000.0,0.0,1800000.0,11500.0,0.0,2020,9,2020-09
COL002,Colombia,COL,2825000.0,2765000.0,,,23545000.0,0.0,2865000.0,500000.0,0.0,,,0.0,2020,9,2020-09
COG002,Congo,COG,160000.0,134000.0,,0.0,140000.0,46000.0,114000.0,0.0,0.0,,,0.0,2020,9,2020-09
CRI002,Costa Rica,CRI,81000.0,81000.0,0.0,0.0,1651000.0,39000.0,41000.0,0.0,0.0,0.0,,0.0,2020,9,2020-09
DJI001,Djibouti,DJI,640000.0,,,10.0,372000.0,329000.0,203000.0,107000.0,0.0,,,1.0,2020,9,2020-09
DJI002,Djibouti,DJI,30000.0,30000.0,,0.0,981000.0,0.0,30000.0,0.0,0.0,0.0,0.0,1.0,2020,9,2020-09
DJI003,Djibouti,DJI,639000.0,,0.0,0.0,372000.0,329000.0,203000.0,107000.0,0.0,0.0,0.0,1.0,2020,9,2020-09
PRK001,DPRK,PRK,25550000.0,,,,0.0,15120000.0,4970000.0,5459000.0,0.0,,,2.0,2020,9,2020-09
COD001,DRC,COD,43245000.0,8466000.0,,3191.0,46241000.0,29826000.0,16511000.0,6391000.0,533000.0,,,1.0,2020,9,2020-09
COD003,DRC,COD,587000.0,,,,22490000.0,0.0,523000.0,64000.0,0.0,,,1.0,2020,9,2020-09
ECU002,Ecuador,ECU,572000.0,363000.0,,1.0,4245000.0,0.0,572000.0,0.0,0.0,,0.0,0.0,2020,9,2020-09
EGY002,Egypt,EGY,3157000.0,503000.0,,0.0,18731000.0,3030000.0,37000.0,87000.0,0.0,,,1.0,2020,9,2020-09
SLV001,El Salvador,SLV,1400000.0,454000.0,,399.0,5300000.0,757000.0,580000.0,63000.0,0.0,,,0.0,2020,9,2020-09
ERI001,Eritrea,ERI,3227000.0,300000.0,,,645000.0,0.0,2582000.0,0.0,0.0,,,3.0,2020,9,2020-09
SWZ002,Eswatini,SWZ,736000.0,0.0,0.0,3.0,394000.0,405000.0,301000.0,30000.0,0.0,,,0.0,2020,9,2020-09
ETH001,Ethiopia,ETH,18770000.0,1735000.0,,475.0,10455000.0,10296000.0,6497000.0,1977000.0,0.0,,,2.0,2020,9,2020-09
