CRISIS ID,COUNTRY,ISO3,INFORM Severity Index,INFORM Severity category,year,month,snapshot,severity,category
AFG001,Afghanistan,AFG,4.6,5,2020,9,2020-09,4.6,5.0
BGD001,Bangladesh,BGD,2.9,3,2020,9,2020-09,2.9,3.0
BRA002,Brazil,BRA,2.3,3,2020,9,2020-09,2.3,3.0
BFA002,Burkina Faso,BFA,3.9,4,2020,9,2020-09,3.9,4.0
BDI001,Burundi,BDI,3.3,4,2020,9,2020-09,3.3,4.0
CMR001,Cameroon,CMR,3.7,4,2020,9,2020-09,3.7,4.0
CAF001,CAR,CAF,4,4,2020,9,2020-09,4.0,4.0
TCD001,Chad,TCD,4.1,5,2020,9,2020-09,4.1,5.0
CHN002,China,CHN,3,3,2020,9,2020-09,3.0,3.0
COL001,Colombia,COL,4.2,5,2020,9,2020-09,4.2,5.0
COG002,Congo,COG,2.3,3,2020,9,2020-09,2.3,3.0
CRI002,Costa Rica,CRI,1.1,2,2020,9,2020-09,1.1,2.0
DJI001,Djibouti,DJI,2.9,3,2020,9,2020-09,2.9,3.0
PRK001,DPRK,PRK,4.1,5,2020,9,2020-09,4.1,5.0
COD001,DRC,COD,4.5,5,2020,9,2020-09,4.5,5.0
ECU002,Ecuador,ECU,2.4,3,2020,9,2020-09,2.4,3.0
EGY002,Egypt,EGY,2.2,3,2020,9,2020-09,2.2,3.0
SLV001,El Salvador,SLV,3,3,2020,9,2020-09,3.0,3.0
ERI001,Eritrea,ERI,3.8,4,2020,9,2020-09,3.8,4.0
SWZ002,Eswatini,SWZ,2.3,3,2020,9,2020-09,2.3,3.0
ETH001,Ethiopia,ETH,4,4,2020,9,2020-09,4.0,4.0
GRC002,Greece,GRC,1.8,2,2020,9,2020-09,1.8,2.0
GTM001,Guatemala,GTM,3.4,4,2020,9,2020-09,3.4,4.0
HTI001,Haiti,HTI,3.5,4,2020,9,2020-09,3.5,4.0
HND001,Honduras,HND,3.2,4,2020,9,2020-09,3.2,4.0
IND001,India,IND,2.5,3,2020,9,2020-09,2.5,3.0
IRN004,Iran,IRN,3.4,4,2020,9,2020-09,3.4,4.0
IRQ001,Iraq,IRQ,3.9,4,2020,9,2020-09,3.9,4.0
JOR002,Jordan,JOR,2.6,3,2020,9,2020-09,2.6,3.0
KEN001,Kenya,KEN,2.9,3,2020,9,2020-09,2.9,3.0
LBN004,Lebanon,LBN,3.5,4,2020,9,2020-09,3.5,4.0
LSO002,Lesotho,LSO,2.1,3,2020,9,2020-09,2.1,3.0
LBY001,Libya,LBY,4.1,5,2020,9,2020-09,4.1,5.0
MDG005,Madagascar,MDG,2.6,3,2020,9,2020-09,2.6,3.0
MWI002,Malawi,MWI,2.6,3,2020,9,2020-09,2.6,3.0
MLI001,Mali,MLI,3.8,4,2020,9,2020-09,3.8,4.0
MRT003,Mauritania,MRT,2.9,3,2020,9,2020-09,2.9,3.0
MOZ001,Mozambique,MOZ,3.2,4,2020,9,2020-09,3.2,4.0
MMR001,Myanmar,MMR,3.5,4,2020,9,2020-09,3.5,4.0
NAM002,Namibia,NAM,2,2,2020,9,2020-09,2.0,2.0
NER001,Niger,NER,3.7,4,2020,9,2020-09,3.7,4.0
NGA001,Nigeria,NGA,4.2,5,2020,9,2020-09,4.2,5.0
PAK001,Pakistan,PAK,3.4,4,2020,9,2020-09,3.4,4.0
PSE002,Palestine,PSE,3.9,4,2020,9,2020-09,3.9,4.0
PER002,Peru,PER,2.6,3,2020,9,2020-09,2.6,3.0
PHL001,Philippines,PHL,2.4,3,2020,9,2020-09,2.4,3.0
RWA002,Rwanda,RWA,1.9,2,2020,9,2020-09,1.9,2.0
SEN002,Senegal,SEN,2.4,3,2020,9,2020-09,2.4,3.0
SOM001,Somalia,SOM,4.6,5,2020,9,2020-09,4.6,5.0
SSD001,South Sudan,SSD,4.4,5,2020,9,2020-09,4.4,5.0
SDN001,Sudan,SDN,4.6,5,2020,9,2020-09,4.6,5.0
SYR001,Syria,SYR,4.9,5,2020,9,2020-09,4.9,5.0
TZA002,Tanzania,TZA,1.7,2,2020,9,2020-09,1.7,2.0
THA001,Thailand,THA,2.1,3,2020,9,2020-09,2.1,3.0
TTO002,Trinidad and Tobago,TTO,1.5,2,2020,9,2020-09,1.5,2.0
TUR001,Turkey,TUR,3.2,4,2020,9,2020-09,3.2,4.0
UGA001,Uganda,UGA,2.9,3,2020,9,2020-09,2.9,3.0
UKR002,Ukraine,UKR,3.5,4,2020,9,2020-09,3.5,4.0
VUT002,Vanuatu,VUT,2,2,2020,9,2020-09,2.0,2.0
VEN001,Venezuela,VEN,4.1,5,2020,9,2020-09,4.1,5.0
YEM001,Yemen,YEM,4.6,5,2020,9,2020-09,4.6,5.0
ZMB002,Zambia,ZMB,2.8,3,2020,9,2020-09,2.8,3.0
ZWE001,Zimbabwe,ZWE,3.7,4,2020,9,2020-09,3.7,4.0
AFG001,Afghanistan,AFG,4.6,5,2020,10,2020-10,4.6,5.0
BGD001,Bangladesh,BGD,2.9,3,2020,10,2020-10,2.9,3.0
BRA002,Brazil,BRA,2.3,3,2020,10,2020-10,2.3,3.0
BFA002,Burkina Faso,BFA,3.8,4,2020,10,2020-10,3.8,4.0
BFA004,Burkina Faso,BFA,3.8,4,2020,10,2020-10,3.8,4.0
BDI001,Burundi,BDI,3.4,4,2020,10,2020-10,3.4,4.0
CMR001,Cameroon,CMR,3.7,4,2020,10,2020-10,3.7,4.0
CAF001,CAR,CAF,4,4,2020,10,2020-10,4.0,4.0
TCD001,Chad,TCD,4.2,5,2020,10,2020-10,4.2,5.0
COL001,Colombia,COL,4.2,5,2020,10,2020-10,4.2,5.0
COG004,Congo,COG,2,2,2020,10,2020-10,2.0,2.0
CRI002,Costa Rica,CRI,1.1,2,2020,10,2020-10,1.1,2.0
DJI001,Djibouti,DJI,2.9,3,2020,10,2020-10,2.9,3.0
PRK001,DPRK,PRK,4.1,5,2020,10,2020-10,4.1,5.0
COD001,DRC,COD,4.5,5,2020,10,2020-10,4.5,5.0
ECU002,Ecuador,ECU,2.4,3,2020,10,2020-10,2.4,3.0
EGY002,Egypt,EGY,2.2,3,2020,10,2020-10,2.2,3.0
SLV001,El Salvador,SLV,3,3,2020,10,2020-10,3.0,3.0
ERI001,Eritrea,ERI,3.7,4,2020,10,2020-10,3.7,4.0
SWZ001,Eswatini,SWZ,2.6,3,2020,10,2020-10,2.6,3.0
ETH001,Ethiopia,ETH,4,4,2020,10,2020-10,4.0,4.0
GRC002,Greece,GRC,1.8,2,2020,10,2020-10,1.8,2.0
GTM001,Guatemala,GTM,3.4,4,2020,10,2020-10,3.4,4.0
HTI001,Haiti,HTI,3.5,4,2020,10,2020-10,3.5,4.0
HND001,Honduras,HND,3.2,4,2020,10,2020-10,3.2,4.0
IND001,India,IND,2.6,3,2020,10,2020-10,2.6,3.0
IRN004,Iran,IRN,3.4,4,2020,10,2020-10,3.4,4.0
IRQ001,Iraq,IRQ,3.9,4,2020,10,2020-10,3.9,4.0
JOR002,Jordan,JOR,2.6,3,2020,10,2020-10,2.6,3.0
KEN001,Kenya,KEN,2.9,3,2020,10,2020-10,2.9,3.0
LBN004,Lebanon,LBN,3.5,4,2020,10,2020-10,3.5,4.0
LSO002,Lesotho,LSO,2.5,3,2020,10,2020-10,2.5,3.0
LBY001,Libya,LBY,4.1,5,2020,10,2020-10,4.1,5.0
MDG005,Madagascar,MDG,2.6,3,2020,10,2020-10,2.6,3.0
MWI002,Malawi,MWI,2.7,3,2020,10,2020-10,2.7,3.0
MLI001,Mali,MLI,3.8,4,2020,10,2020-10,3.8,4.0
MRT003,Mauritania,MRT,2.9,3,2020,10,2020-10,2.9,3.0
MOZ001,Mozambique,MOZ,3.2,4,2020,10,2020-10,3.2,4.0
MMR001,Myanmar,MMR,3.5,4,2020,10,2020-10,3.5,4.0
NAM002,Namibia,NAM,2,2,2020,10,2020-10,2.0,2.0
NER001,Niger,NER,3.8,4,2020,10,2020-10,3.8,4.0
NGA001,Nigeria,NGA,4.2,5,2020,10,2020-10,4.2,5.0
PAK001,Pakistan,PAK,3.4,4,2020,10,2020-10,3.4,4.0
PSE002,Palestine,PSE,3.9,4,2020,10,2020-10,3.9,4.0
PER002,Peru,PER,2.6,3,2020,10,2020-10,2.6,3.0
PHL001,Philippines,PHL,2.4,3,2020,10,2020-10,2.4,3.0
RWA002,Rwanda,RWA,2,2,2020,10,2020-10,2.0,2.0
SOM001,Somalia,SOM,4.6,5,2020,10,2020-10,4.6,5.0
SSD001,South Sudan,SSD,4.4,5,2020,10,2020-10,4.4,5.0
SDN001,Sudan,SDN,4.6,5,2020,10,2020-10,4.6,5.0
