iso3,requirements,funding_received,pin_total,population,severity_category,severity_index,affected,displaced,injured,fatalities,pin_phase_1,pin_phase_2,pin_phase_3,pin_phase_4,pin_phase_5,access_limited,access_restricted,impediments,coverage,coverage_shortfall,per_pin_gap,per_pin_allocated,need_intensity,affected_intensity,displaced_intensity,phase_45_share,phase_5_share,displaced_share_of_pin,access_restricted_share,access_limited_share,log_pin_total,log_requirements,log_affected,log_displaced,log_fatalities,donor_hhi,donor_top1_share,donor_top3_share,n_donors,donor_entropy,cluster_gini,cluster_min_coverage,cluster_min_name,phase_gini,cbpf_reliance,severity_baseline_24m,severity_acute_delta_3m,severity_volatility_12m,severity_trend_12m,phase_45_share_baseline_12m,phase_45_share_delta_3m,access_restricted_baseline_12m,access_restricted_delta_3m,persistence_P4_plus,displaced_growth_12m,coverage_baseline_3y,coverage_trend_3y,gap_score_balanced,gap_score_cerf_profile,gap_score_echo_profile,gap_score_usaid_profile,gap_score_ngo_profile,completeness,median_rank,rank_iqr,typology_cell
ABW,5089340.0,90615.0,,106435.0,,,,,,,,,,,,,,,0.01780486271304334,0.9821951372869566,,,,,,,,,,,0.0,15.442658910596666,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.01780486271304334,-0.31392136486066546,,,,,,0.16666666666666666,,,—
AFG,2416811546.0,1008671701.0,718609621.0,40411869.0,5.0,9.1,46000000.0,12006000.0,4521.0,2582.0,0.0,24111000.0,17315000.0,4574000.0,0.0,,,2.0,0.4173563729738984,0.5826436270261016,1.9595338050727267,1.4036434686142338,17.782142691791858,1.1382794495349868,0.2970909363286316,0.09943478260869565,0.0,0.016707263094102105,,,20.3928288224789,21.605714965830686,17.6441519761925,16.30091716608561,7.8567067930958405,0.33200116707416166,0.5589876490877533,0.7209670876183447,27.0,1.8708818531700195,0.35295879132708313,0.16025478650511216,Emergency Shelter and NFI,0.5698869565217392,0.06361492606620198,5.0,0.0,0.0,,0.14492391304347826,0.0,0.16956521739130434,,17.0,0.9530084140339736,1.5,0.6790020054562533,0.5860559086318212,0.7295939515846837,0.609313975202252,0.5720535209118357,0.5733039302688491,1.0,5.0,1.0,consensus-overlooked
AGO,20227157.0,560874.0,,37205374.0,4.0,6.6,2267000.0,,,,483000.0,683000.0,1167000.0,417000.0,0.0,,,0.0,0.027728760893090412,0.9722712391069096,,,,0.06093205782583989,,0.1839435377150419,0.0,,,,0.0,16.822536714846002,14.63396837060117,0.0,0.0,1.0,1.0,1.0,1.0,-1.000088900581841e-12,,,,0.3781818181818182,,4.0,0.0,0.0,,0.1839435377150419,0.0,,,25.0,,1.5,0.49639908613949085,0.4443976190030551,0.516582380872166,0.39992976183791606,0.5499438094703328,0.3666104761369995,0.5,26.5,11.25,—
ARG,23236023.0,2592788.0,,45808747.0,,,,,,,,,,,,,,,0.11158484392961739,0.8884151560703826,,,,,,,,,,,0.0,16.96121439097404,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.000088900581841e-12,,,,,,,,,,,,,,,,0.09557298363137395,-0.010659455675185095,,,,,,0.3333333333333333,,,—
BDI,132607381.0,42594889.0,,13462695.0,4.0,7.1,14700000.0,183000.0,,,0.0,13421000.0,679000.0,600000.0,,,,1.0,0.3212105440797447,0.6787894559202553,,,,1.0919061896596485,0.013593117871273173,0.04081632653061224,,,,,0.0,18.702903305358006,16.503358119776173,12.117246896289503,0.0,0.8323260760600608,0.9094146416468074,1.0,3.0,0.3528413202641112,,,,0.7488707482993198,,4.0,0.0,0.0,,0.04081632653061224,0.0,,,0.0,2.44,1.5,0.538214858115628,0.3968348825461707,0.4778047908385332,0.36605392562359684,0.4835014586043197,0.32826932662424196,0.5,33.5,7.75,—
BFA,792565236.0,275051818.0,221484949.0,23558491.0,5.0,8.4,4432000.0,2063000.0,,1641.0,19638000.0,0.0,2834000.0,1599000.0,0.0,,0.0,1.0,0.3470399728710786,0.6529600271289214,2.3365624632127937,1.2418533143757773,9.401491334907655,0.18812749933771225,0.08756927597782048,0.3607851985559567,0.0,0.00931440266850819,0.0,,19.215865199317115,20.490785378308843,15.304361733041,14.539672276784247,7.403670290012373,0.29663105104429904,0.505470965217475,0.7373106004196583,12.0,1.6847207606167032,0.2847308342564252,0.04408349948985744,Gestion des Sites d’Accueil Temporaires,0.6997632005317602,,5.0,1.0,0.4923659639173309,-0.06293706293706268,0.26677937447168215,0.09400582408427455,0.0,0.0,30.0,0.9805133079847909,1.5,,0.48885728966102415,0.6459477039611109,0.524492898540248,0.49083966445306276,0.4678237125440962,1.0,17.0,6.5,contested-balanced
BGD,970135849.0,507489814.0,,165650475.0,4.0,6.8,48982000.0,,,,45951000.0,33658000.0,15186000.0,138000.0,0.0,,,1.0,0.5231121131366417,0.47688788686335826,,,,0.29569489613597544,,0.0028173614797272466,0.0,,,,0.0,20.692946671201792,17.706963462063374,0.0,0.0,0.10498173103631177,0.21257328230882475,0.44279805326254223,19.0,2.4829349990409724,0.40320388412798175,0.005063294472175249,Education,0.5284653387125657,,4.0,0.0,0.0,,0.0071119692052855985,-0.004293977264264558,,,9.0,,1.5,0.5151683586400098,0.3260477930095352,0.41413584078052734,0.3945216521869756,0.30215727695678785,0.3803574262660967,0.6666666666666666,36.0,12.25,contested-sector-starved
BGR,29882002.0,640000.0,,,2.0,1.5,77000.0,77000.0,,0.0,6447000.0,0.0,77000.0,0.0,0.0,,,0.0,0.021417574364662715,0.9785824256353373,,,,,,0.0,0.0,,,,0.0,17.212766950788048,11.251573687764477,11.251573687764477,0.0,,,,,,,,,0.7952789699570816,,2.0,0.0,0.0,,0.0,0.0,,,0.0,1.0547945205479452,0.1544890841526028,0.6727554579236987,,,,,,0.3333333333333333,,,—
BOL,12187019.0,3430858.0,,12006031.0,3.0,2.9,2200000.0,994000.0,,58.0,1000000.0,1206000.0,994000.0,,,,,1.0,0.2815174079895994,0.7184825920104005,,,,0.18324123934046146,0.08279172359291759,0.0,,,,,0.0,16.315882008897262,14.603968372873895,13.809493491674422,4.07753744390572,0.6710765281985659,0.802074729006982,1.0,3.0,0.5899587048133805,,,,0.4265,,3.0,0.0,0.0,,0.0,0.0,,,0.0,,0.42298916576728074,0.5385054171163598,0.31517898466306904,0.3925316950761219,0.31293609514068166,0.3931728770591634,0.2816319240020553,0.5,46.0,2.25,—
BRA,113420823.0,16394918.0,,203080756.0,3.0,2.7,1168000.0,951000.0,,,131179000.0,608000.0,560000.0,,,,,0.0,0.1445494536748336,0.8554505463251664,,,,0.0057514065980727395,0.004682866159903403,0.0,,,,,0.0,18.546615565556387,13.970804298534327,13.765270393051685,0.0,0.24096163077528993,0.3081035928004284,0.8222431136051412,6.0,1.5309735222363452,,,,0.7947773655617429,,3.0,0.0,0.0,,0.0,0.0,,,0.0,0.9188405797101449,0.18462019976702163,0.6576899001164894,0.24451084245332766,0.38547041283872663,0.303046980818181,0.2843428316594458,0.24488670284642128,0.5,51.0,3.0,—
CAF,326056578.0,135557006.0,40599768.0,,4.0,7.9,5434000.0,1109000.0,,447.0,0.0,3220000.0,1953000.0,261000.0,0.0,,,0.0,0.41574688304555535,0.5842531169544447,4.692134496926189,3.3388615915243656,,,,0.04803091645196908,0.0,0.027315427024115015,,,17.519272934900602,19.60258147948674,15.508186252994912,13.918970168045353,6.104793232414985,0.21254449010474927,0.37294538653828774,0.6836688497733809,10.0,1.8304285393161415,0.36817699488376027,0.032753421676003154,Transfert d’espèces à usages multiples,0.6178137651821862,,4.0,0.0,0.0,,0.059811320754716985,0.0,,,29.0,1.6405325443786982,1.5,0.6558497598620704,0.37803586355483715,0.47175344974101,0.44391233796905877,0.36987166766173896,0.4145438031146355,0.8333333333333334,30.5,7.75,contested-balanced
CHL,80306084.0,2936339.0,,19828563.0,3.0,5.1,1403000.0,752000.0,,6.0,13192000.0,825000.0,578000.0,,,,,0.0,0.036564340505010805,0.9634356594949892,,,,0.07075651422647218,0.03792508816700434,0.0,,,,,0.0,18.201355954377217,14.15412407184272,13.530492932718326,1.9459101490553132,1.0,1.0,1.0,1.0,-1.000088900581841e-12,,,,0.7457074340527577,,3.0,0.0,0.0,,0.0,0.0,,,0.0,1.0820143884892086,0.038399182806622724,-0.07634865445718376,0.3887788338954381,0.4331352343451219,0.3498349175098238,0.49986793400785906,0.3332012673411924,0.5,36.0,7.25,—
CMR,359298328.0,84113019.0,80828011.0,29442318.0,4.0,7.9,278000.0,278000.0,,,2233000.0,0.0,278000.0,,,,,0.0,0.2341035636547688,0.7658964363452312,3.4045785068248184,1.0406419502268835,2.745300522873233,0.009442191338331445,0.009442191338331445,0.0,,0.0034394017192876367,,,18.207834146578918,19.69966360136322,12.535379989788607,12.535379989788607,0.0,0.6271668865157134,0.7739338593571518,0.9948964850161919,5.0,0.6960288138981219,0.39274089804714557,0.05144420434333817,"Water, Sanitation and Hygiene",0.7557148546395859,,4.0,0.0,0.0,,0.057356730590990404,-0.08100888908350484,,,6.0,1.0036101083032491,1.5,0.6375352780607433,0.49263331774503405,0.5464209795623288,0.5119651391739709,0.5224460214448015,0.5085005112438429,1.0,15.5,5.75,contested-sector-starved
COD,2538016151.0,689362675.0,915901388.6058033,103199358.0,5.0,8.9,118834000.0,11327000.0,,2621.0,0.0,103971000.0,8999000.0,5865000.0,0.0,,,1.0,0.27161477074461693,0.7283852292553831,2.01839793999444,0.752660366690083,8.875068666665575,1.151499411459517,0.10975843473754944,0.049354561825740106,0.0,0.012367051891079785,,,20.6354192635746,21.65464857028455,18.593238127648057,16.242699902467475,7.871692664323645,0.2148876333742421,0.39885367779850645,0.6755324121751716,21.0,1.9692115883321077,0.3169655720277028,0.0026952583263604754,Coordination et gestion des camps,0.7302259435351538,0.054796043325703904,5.0,0.0,0.0,,0.049354561825740106,-0.007055398644006262,,,14.0,0.8949905183312263,1.5,,0.48574597929487695,0.6505893453779056,0.5382176786307276,0.47763996930834646,0.4825891926993623,1.0,14.5,7.25,contested-balanced
COG,22496182.0,31046905.0,,,3.0,2.7,525000.0,231000.0,,0.0,5445000.0,0.0,525000.0,0.0,0.0,,,0.0,1.3800966315084044,0.0,,,,,,0.0,0.0,,,,0.0,16.928856208338956,13.171155446333852,12.35017731849889,0.0,,,,,,,,,0.7648241206030151,,3.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,1.458231579763805,0.02088421011809781,,,,,,0.3333333333333333,,,—
COL,809539590.0,143128707.0,109819188.0,53216592.0,5.0,8.4,53110000.0,3906000.0,600.0,1266.0,0.0,42767000.0,7686000.0,2657000.0,0.0,,,0.0,0.17680260331678158,0.8231973966832185,6.068255421812079,1.3033123774326214,2.063626847807165,0.9979970156675948,0.07339816123512757,0.05002824326868763,0.0,0.03556755491581307,,,18.514345834976222,20.51197623785389,17.787875811227426,15.178024646435114,7.144407180321139,0.34026673762441384,0.5499579289834281,0.7822348841445019,15.0,1.6048281216920464,0.15117854441663472,0.1291562399241777,"Agua, Saneamiento e Higiene",0.7020900018828846,0.005315984978967836,4.0,1.0,0.3892494720807615,0.06993006993006999,0.03801543965354924,0.012012803615138387,,,6.0,0.9765,1.5,,0.42479235757154915,0.6057312713318793,0.46499956165993384,0.4571983151287238,0.36776587870585653,1.0,28.0,6.25,contested-balanced
CRI,18903343.0,695934.0,,5163021.0,2.0,4.0,50000.0,47000.0,,,5141000.0,20000.0,30000.0,,,,,0.0,0.03681539291753845,0.9631846070824616,,,,0.00968425268849381,0.009103197527184182,0.0,,,,,0.0,16.75484939559632,10.819798284210286,10.757924157061597,0.0,,,,,,,,,0.7946060489308419,,3.0,0.0,0.5149286505444373,-0.12237762237762237,0.0,0.0,,,0.0,0.22380952380952382,0.05603675498032279,0.7219816225098387,,,,,,0.3333333333333333,,,—
CUB,12373568.0,13123346.0,,11306203.0,4.0,6.6,3500000.0,1880000.0,,13.0,7480000.0,0.0,3500000.0,,,,,1.0,1.0605951331095445,0.0,,,,0.3095645814956622,0.16628040377481282,0.0,,,,,0.0,16.331073223368993,15.068273812173887,14.446782866720884,2.6390573296152584,0.27970501416410476,0.381449189943472,0.8033616519346833,7.0,1.5068438735740177,0.16591964486816538,0.6448739523128882,"Agua, Saneamiento e Higiene",0.672495446265938,,3.5,1.0,0.5477225575051661,0.1428571428571426,0.0,0.0,,,0.0,,1.279128704024579,0.11043564798771077,0.14908375005381067,0.17805845834947653,0.11628453264655773,0.15206621745030147,0.09597390465061689,0.6666666666666666,57.0,0.25,consensus-overlooked
CUW,4720075.0,76392.0,,191155.0,,,,,,,,,,,,,,,0.01618448859393124,0.9838155114060687,,,,,,,,,,,0.0,15.367335459127023,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.01618448859393124,-0.11059346284893772,,,,,,0.16666666666666666,,,—
CZE,41124168.0,1949544.0,,,2.0,1.9,401000.0,401000.0,,0.0,10864000.0,0.0,401000.0,0.0,0.0,,,0.0,0.047406284304645385,0.9525937156953546,,,,,,0.0,0.0,,,,0.0,17.532106560158724,12.901719200051183,12.901719200051183,0.0,,,,,,,,,0.7857612072791833,,2.0,0.0,0.0,,0.0,0.0,,,0.0,1.182890855457227,0.3205036657562039,-0.1699286119242032,,,,,,0.3333333333333333,,,—
DJI,11691000.0,9514282.0,,818159.0,3.0,5.8,696000.0,0.0,,,458000.0,479000.0,168000.0,49000.0,0.0,,,0.0,0.8138125053459927,0.1861874946540073,,,,0.8506903914764734,0.0,0.07040229885057471,0.0,,,,0.0,16.274329958524834,13.453106376097134,0.0,0.0,0.885451385320351,0.939005344682927,1.0,2.0,0.22969562598857102,,,,0.47383015597920275,,3.0,0.0,0.0,,0.07703081232492998,-0.006628513474355266,,,3.0,0.0,1.5,,0.2577452934328204,0.2292710281415787,0.17888154011923219,0.33622845212688407,0.18875948543771864,0.5,55.0,1.75,—
DOM,10727500.0,1721628.0,,750548.0,3.0,4.1,117000.0,104000.0,,,11383000.0,47000.0,70000.0,,,,,0.0,0.1604873456070846,0.8395126543929154,,,,0.1558860992235007,0.1385654215320006,0.0,,,,,0.0,16.188321189066176,11.669937760751914,11.552155793461898,0.0,0.9520485107731178,0.9754200830702873,1.0,2.0,0.11536420909468043,,,,0.7942956521739131,,2.0,1.0,0.38924947208076144,0.06993006993006996,0.0,0.0,,,0.0,0.8062015503875969,0.5242860871591704,0.48785695642041493,0.37615849820753017,0.42381262743903253,0.34161961184367784,0.4820447317159406,0.32341446344856084,0.5,38.0,5.25,—
ECU,229690772.0,18451001.0,,17510643.0,4.0,7.0,291000.0,71000.0,92.0,18.0,7307000.0,220000.0,71000.0,,,,,0.0,0.08032974437475442,0.9196702556252456,,,,0.01661846455324342,0.004054676918488944,0.0,,,,,0.0,19.25224449706582,12.581081982573842,11.170449240431308,2.9444389791664403,0.34575324992988477,0.42264646993813587,1.0,3.0,1.0805349627100576,,,,0.7809423532508555,,4.0,0.0,0.0,,0.018963337547408345,-0.03792667509481669,,,0.0,0.0926892950391645,1.5,,0.3217976326884432,0.4786491640797553,0.3622271892251108,0.3662744741780204,0.2925891959890215,0.5,41.0,8.0,—
EGY,289273038.0,51088326.0,,,3.0,5.6,1473000.0,1099000.0,,0.0,23837000.0,0.0,1473000.0,,,,,1.0,0.17660935963205807,0.823390640367942,,,,,,0.0,,,,,0.0,19.48288157168719,14.202812374331163,13.909912143303451,0.0,0.2836579975332158,0.4519519457540727,0.7915152841046913,7.0,1.5002013952281277,,,,0.7767206637692612,,3.0,0.0,0.0,,0.0,0.0,,,13.0,1.1868250539956804,1.5,,0.25082850459554334,0.3849160887039869,0.3029825812389222,0.2943092494282502,0.24769745102078894,0.5,51.0,1.0,—
