iso3,rank,current_severity,predicted_severity_3m,severity_worsening,coverage_shortfall,gap_score_balanced,gap_score_cerf_profile,cluster_gini,donor_hhi,completeness,typology_cell,composite_score
SLV,1,3.0000,3.4862,0.4862,0.7161,0.4877,0.4675,0.4654,0.7994,1.0000,contested-sector-starved,0.8504
UGA,2,3.0000,3.4595,0.4595,0.8262,0.3058,0.4016,,0.5781,0.5000,—,0.7955
SOM,3,5.0000,5.0826,0.0826,0.7129,0.5765,0.7083,0.2631,0.4940,1.0000,consensus-overlooked,0.6874
COD,4,5.0000,5.0797,0.0797,0.7284,0.4857,0.6506,0.3170,0.2149,1.0000,contested-balanced,0.6510
SDN,5,5.0000,4.9834,0.0000,0.6047,0.5897,0.7470,0.3755,0.2076,1.0000,consensus-sector-starved,0.6495
MLI,6,5.0000,5.0691,0.0691,0.7424,0.4804,0.6400,0.3108,0.1935,1.0000,contested-balanced,0.6418
HTI,7,5.0000,4.9541,0.0000,0.7288,0.5591,0.6980,0.3741,0.2912,1.0000,consensus-sector-starved,0.6236
TCD,8,5.0000,4.8020,0.0000,0.6862,0.5319,0.6880,0.2653,0.1769,1.0000,contested-balanced,0.6179
MOZ,9,4.0000,4.0265,0.0265,0.7664,0.5273,0.6292,0.3317,0.2364,1.0000,consensus-overlooked,0.6060
BFA,10,5.0000,4.7701,0.0000,0.6530,0.4889,0.6459,0.2847,0.2966,1.0000,contested-balanced,0.5957
YEM,11,5.0000,5.0454,0.0454,0.7102,0.4627,0.5821,0.3822,0.2957,0.8333,consensus-sector-starved,0.5912
PER,12,3.0000,3.1751,0.1751,0.9087,0.2814,0.3994,,0.4284,0.5000,—,0.5899
LBN,13,4.0000,4.0940,0.0940,0.8352,0.4042,0.4986,0.4482,0.2173,0.6667,contested-sector-starved,0.5847
CRI,14,2.0000,2.4648,0.4648,0.9632,,,,,0.3333,—,0.5846
HND,15,4.0000,3.9931,0.0000,0.8939,0.6228,0.6200,0.4213,0.9761,1.0000,consensus-sector-starved,0.5820
NER,16,4.0000,4.0264,0.0264,0.7382,0.4721,0.5739,0.2954,0.3533,1.0000,consensus-overlooked,0.5763
COL,17,5.0000,4.8420,0.0000,0.8232,0.4248,0.6057,0.1512,0.3403,1.0000,contested-balanced,0.5743
VEN,18,4.0000,4.0398,0.0398,0.7984,0.4462,0.5506,0.2578,0.5053,1.0000,consensus-overlooked,0.5734
NGA,19,5.0000,4.7736,0.0000,0.6845,0.4763,0.5847,0.3401,0.4441,1.0000,consensus-overlooked,0.5631
PAN,20,2.0000,2.2105,0.2105,0.6709,0.2517,0.2997,,0.6543,0.5000,—,0.5620
MMR,21,5.0000,4.8834,0.0000,0.7149,0.5024,0.5815,0.5388,0.3139,0.8333,contested-sector-starved,0.5613
ETH,22,5.0000,4.9711,0.0000,0.7484,0.4274,0.5634,,0.6628,0.5000,—,0.5516
CMR,23,4.0000,4.0123,0.0123,0.7659,0.4926,0.5464,0.3927,0.6272,1.0000,contested-sector-starved,0.5514
ZWE,24,4.0000,3.9735,0.0000,0.8487,0.5943,0.5566,0.6031,0.9278,0.6667,contested-sector-starved,0.5481
ZMB,25,4.0000,4.0297,0.0297,0.7782,0.4628,0.5108,0.3722,0.7015,0.6667,consensus-sector-starved,0.5449
GTM,26,4.0000,3.9821,0.0000,0.7515,0.4972,0.5330,0.4363,0.6573,1.0000,contested-sector-starved,0.5354
AGO,27,4.0000,3.9919,0.0000,0.9723,0.4444,0.5166,,1.0000,0.5000,—,0.5266
IRN,28,4.0000,4.0062,0.0062,0.9213,0.3932,0.5001,,0.7290,0.5000,—,0.5223
LBY,29,4.0000,4.0156,0.0156,0.8448,0.3640,0.4872,,0.5867,0.5000,—,0.5221
PAK,30,4.0000,4.0260,0.0260,0.6566,0.3936,0.4732,0.4684,0.1998,0.6667,contested-sector-starved,0.5221
TUR,31,4.0000,3.8407,0.0000,0.9418,0.3436,0.4859,,0.4607,0.5000,—,0.5102
ECU,32,4.0000,3.7538,0.0000,0.9197,0.3218,0.4786,,0.3458,0.5000,—,0.5063
