iso3,current_severity,predicted_severity_3m,neglect_prob,theta_median,severity_baseline_24m,coverage_shortfall,theta_ci_width,severity_worsening,theta_norm,sev_norm,neglect_norm,composite_score,rank
SLV,3.0000,3.5795,1.0000,0.5879,3.0000,0.7161,0.4570,0.5795,0.9041,0.8589,1.0000,0.9123,1
CAF,4.0000,4.6746,0.0015,0.5349,4.0000,0.5843,0.4833,0.6746,0.8226,1.0000,0.0015,0.6794,2
COD,5.0000,5.1811,0.9967,0.5444,5.0000,0.7284,0.4843,0.1811,0.8371,0.2684,0.9967,0.6780,3
HND,4.0000,4.0482,1.0000,0.6503,4.0000,0.8939,0.4583,0.0482,1.0000,0.0714,1.0000,0.6750,4
YEM,5.0000,5.1264,0.9979,0.5664,5.0000,0.7102,0.4759,0.1264,0.8709,0.1873,0.9979,0.6634,5
MLI,5.0000,5.1274,0.9987,0.5596,5.0000,0.7424,0.4487,0.1274,0.8605,0.1889,0.9987,0.6600,6
BFA,5.0000,5.1360,0.9944,0.5508,5.0000,0.6530,0.4676,0.1360,0.8471,0.2016,0.9944,0.6580,7
SOM,5.0000,5.1029,0.9980,0.5681,5.0000,0.7129,0.4672,0.1029,0.8737,0.1526,0.9980,0.6524,8
SDN,5.0000,5.1062,0.9991,0.5392,5.0000,0.6047,0.4912,0.1062,0.8291,0.1575,0.9991,0.6365,9
MMR,5.0000,5.0566,0.9995,0.5800,5.0000,0.7149,0.4694,0.0566,0.8918,0.0839,0.9996,0.6360,10
VEN,4.0000,4.0368,1.0000,0.5963,4.0000,0.7984,0.4593,0.0368,0.9169,0.0545,1.0000,0.6358,11
CMR,4.0000,4.0437,1.0000,0.5797,4.0000,0.7659,0.4659,0.0437,0.8914,0.0648,1.0000,0.6292,12
GTM,4.0000,4.0431,1.0000,0.5784,4.0000,0.7515,0.4819,0.0431,0.8895,0.0638,1.0000,0.6281,13
NER,4.0000,4.0446,1.0000,0.5612,4.0000,0.7382,0.4702,0.0446,0.8629,0.0660,1.0000,0.6183,14
MOZ,4.0000,4.0368,1.0000,0.5611,4.0000,0.7664,0.5028,0.0368,0.8628,0.0546,1.0000,0.6142,15
NGA,5.0000,5.0518,0.9994,0.5459,5.0000,0.6845,0.4907,0.0518,0.8394,0.0767,0.9994,0.6125,16
HTI,5.0000,4.9971,0.9998,0.5794,5.0000,0.7288,0.4465,0.0000,0.8910,0.0000,0.9998,0.6064,17
COL,5.0000,4.9343,0.9998,0.5681,4.0000,0.8232,0.4407,0.0000,0.8736,0.0000,0.9998,0.5994,18
TCD,5.0000,4.8810,0.9998,0.5425,4.0000,0.6862,0.4660,0.0000,0.8342,0.0000,0.9998,0.5836,19
CRI,2.0000,2.5866,0.9999,,3.0000,0.9632,,0.5866,0.0000,0.8696,1.0000,0.5543,20
UGA,3.0000,3.4722,0.9999,,4.0000,0.8262,,0.4722,0.0000,0.6999,1.0000,0.4950,21
PAN,2.0000,2.4010,0.9999,,3.0000,0.6709,,0.4010,0.0000,0.5944,1.0000,0.4580,22
PER,3.0000,3.3113,1.0000,,3.0000,0.9087,,0.3113,0.0000,0.4615,1.0000,0.4115,23
SSD,5.0000,5.0834,0.0020,0.5456,5.0000,0.5397,0.4686,0.0834,0.8391,0.1236,0.0019,0.3794,24
ETH,5.0000,5.2008,0.9909,,5.0000,0.7484,,0.2008,0.0000,0.2977,0.9909,0.3519,25
UKR,5.0000,5.1164,0.0015,0.4693,5.0000,0.3547,0.5131,0.1164,0.7217,0.1725,0.0015,0.3494,26
AFG,5.0000,5.0376,0.0012,0.5246,5.0000,0.5826,0.4578,0.0376,0.8068,0.0557,0.0012,0.3425,27
LBN,4.0000,4.1755,0.9999,,4.0000,0.8352,,0.1755,0.0000,0.2602,1.0000,0.3411,28
BRA,3.0000,3.1310,1.0000,,3.0000,0.8555,,0.1310,0.0000,0.1942,1.0000,0.3180,29
POL,3.0000,3.1294,1.0000,,3.0000,0.9011,,0.1294,0.0000,0.1918,1.0000,0.3171,30
BDI,4.0000,4.1192,0.9993,,4.0000,0.6788,,0.1192,0.0000,0.1766,0.9993,0.3116,31
PAK,4.0000,4.1117,0.9999,,4.0000,0.6566,,0.1117,0.0000,0.1656,1.0000,0.3079,32
IRN,4.0000,4.1029,1.0000,,4.0000,0.9213,,0.1029,0.0000,0.1525,1.0000,0.3034,33
CHL,3.0000,3.0903,1.0000,,3.0000,0.9634,,0.0903,0.0000,0.1338,1.0000,0.2968,34
LBY,4.0000,4.0862,1.0000,,4.0000,0.8448,,0.0862,0.0000,0.1278,1.0000,0.2947,35
ZMB,4.0000,4.0741,1.0000,,4.0000,0.7782,,0.0741,0.0000,0.1099,1.0000,0.2885,36
TZA,3.0000,3.0686,1.0000,,3.0000,0.8759,,0.0686,0.0000,0.1017,1.0000,0.2856,37
MEX,3.0000,3.0613,0.9999,,3.0000,0.6987,,0.0613,0.0000,0.0909,1.0000,0.2818,38
EGY,3.0000,3.0584,1.0000,,3.0000,0.8234,,0.0584,0.0000,0.0866,1.0000,0.2803,39
TUR,4.0000,4.0506,0.9999,,4.0000,0.9418,,0.0506,0.0000,0.0749,1.0000,0.2762,40
JOR,3.0000,3.0343,1.0000,,3.0000,0.8257,,0.0343,0.0000,0.0508,1.0000,0.2678,41
RWA,3.0000,3.0266,1.0000,,3.0000,0.7884,,0.0266,0.0000,0.0395,1.0000,0.2638,42
ZWE,4.0000,4.0033,0.9999,,4.0000,0.8487,,0.0033,0.0000,0.0048,0.9999,0.2517,43
ECU,4.0000,3.9381,1.0000,,4.0000,0.9197,,0.0000,0.0000,0.0000,1.0000,0.2500,44
AGO,4.0000,3.8687,0.9999,,4.0000,0.9723,,0.0000,0.0000,0.0000,0.9999,0.2500,45
PRK,4.0000,4.2032,0.0006,,4.0000,,,0.2032,0.0000,0.3011,0.0006,0.1056,46
ERI,3.0000,3.1571,0.0001,,3.0000,,,0.1571,0.0000,0.2329,0.0001,0.0815,47
MWI,4.0000,4.1325,0.0002,,4.0000,0.5938,,0.1325,0.0000,0.1964,0.0002,0.0688,48
BGD,4.0000,4.1177,0.0001,,4.0000,0.4769,,0.1177,0.0000,0.1744,0.0000,0.0611,49
PSE,5.0000,5.1134,0.0009,,5.0000,0.3447,,0.1134,0.0000,0.1681,0.0008,0.0591,50
KEN,4.0000,4.0689,0.0001,,4.0000,0.5074,,0.0689,0.0000,0.1021,0.0000,0.0358,51
GRC,3.0000,3.0497,0.0001,,3.0000,,,0.0497,0.0000,0.0736,0.0000,0.0258,52
ARM,3.0000,3.0426,0.0013,,3.0000,,,0.0426,0.0000,0.0632,0.0012,0.0224,53
COG,3.0000,3.0409,0.0001,,3.0000,0.0000,,0.0409,0.0000,0.0606,0.0001,0.0212,54
IDN,3.0000,3.0285,0.0004,,3.0000,,,0.0285,0.0000,0.0423,0.0004,0.0149,55
SYR,5.0000,5.0165,0.0005,,5.0000,0.5750,,0.0165,0.0000,0.0244,0.0004,0.0087,56
SWZ,3.0000,3.0058,0.0001,,3.0000,,,0.0058,0.0000,0.0087,0.0001,0.0031,57
THA,3.0000,3.0057,0.0001,,3.0000,,,0.0057,0.0000,0.0084,0.0000,0.0030,58
IRQ,4.0000,3.5716,0.0021,,3.5000,,,0.0000,0.0000,0.0000,0.0021,0.0005,59
MRT,4.0000,3.5801,0.0011,,3.0000,,,0.0000,0.0000,0.0000,0.0010,0.0003,60
PHL,3.0000,2.9972,0.0008,,3.0000,0.0000,,0.0000,0.0000,0.0000,0.0008,0.0002,61
DZA,3.0000,2.9538,0.0002,,3.0000,,,0.0000,0.0000,0.0000,0.0002,0.0001,62
MDG,3.0000,2.9481,0.0001,,3.0000,,,0.0000,0.0000,0.0000,0.0001,0.0000,63
NAM,3.0000,2.9959,0.0001,,3.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,64
SEN,3.0000,2.9847,0.0000,,3.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,65
DJI,3.0000,2.9649,0.0000,,3.0000,0.1862,,0.0000,0.0000,0.0000,0.0000,0.0000,66
